user_id,reward_redeemed,rewards_redeemed_value
825463,3,3000
1337016,2,30000
667499,1,500
1408356,2,4000
1638516,4,2750
1623135,1,2500
971197,8,15650
1330055,1,0
1065789,3,1800
648991,1,300
554620,2,800
99324,1,0
556608,2,800
1185718,2,0
1638317,5,5
1339960,1,500
258738,1,2000
1157159,1,300
1013915,1,2050
1578299,2,1700
1643676,1,1
1338271,1,50
1033435,2,1600
1567324,1,0
49836,1,950
1615350,1,300
557732,3,500
1325454,2,100
633318,3,15000
162653,1,2500
840275,1,1000
1431781,1,0
1373410,2,150
1159499,2,500
1432697,1,100
541413,1,800
1032118,1,1700
1633858,2,2
711996,1,2000
1365601,1,2050
721171,1,0
1643527,1,800
351601,3,1300
1623357,1,0
1534754,3,998
1068660,1,2050
629895,2,500
1615959,1,800
588126,1,800
1612462,1,0
1640929,1,0
91010,1,2000
54900,1,6000
1522945,1,800
832987,1,500
816764,5,6300
967548,1,0
1540378,1,800
980031,1,0
1341564,1,0
556512,1,800
1444695,1,0
1585613,1,800
1619160,1,300
1355489,1,0
557465,2,800
1481135,3,1400
904924,2,600
98306,3,1800
631564,2,1000
1561050,2,1300
1443317,1,0
1079761,3,3150
1434215,2,1500
1089506,2,1800
1369522,1,0
1437382,1,300
553150,1,500
1173977,2,600
1523356,2,0
971233,6,450
1172015,1,100
1350953,4,5800
684549,5,800
742753,2,1600
581826,1,800
1574418,1,300
863097,4,1000
739184,1,1500
601026,1,800
697364,1,500
982265,2,3350
1004954,11,15050
737254,1,0
1511216,1,0
642658,3,800
908023,6,4800
113988,1,10000
576838,1,500
404206,1,5000
541477,3,1600
1544360,2,1000
439026,1,0
795365,2,0
58161,1,1300
225622,1,12000
915194,2,6000
549564,3,1800
209665,1,2500
987796,2,0
1222638,1,800
836785,7,15000
865684,2,7500
1322722,3,500
1407390,1,0
1095738,3,1250
1437243,1,0
719780,2,1000
555986,3,2100
1477131,3,3000
605593,3,800
143531,8,100000
858693,2,500
1442401,1,0
1034498,4,3000
1059959,3,6150
360854,2,19998
710674,1,4000
545037,4,1300
82035,1,0
551991,1,0
1622743,1,0
580300,1,800
1620635,1,0
865643,1,1000
562646,1,0
431290,1,1000
579417,1,2050
1074323,1,0
784769,2,0
1405486,1,800
564254,1,500
633102,2,1000
1467344,1,0
452395,1,300
991351,2,4100
556153,1,0
554995,1,0
555738,1,0
363049,1,4000
625856,2,0
187369,2,8000
1534927,1,0
560767,1,0
1317937,1,0
15507,2,2000
981884,1,0
830645,1,800
1089001,1,50
1437024,1,5000
916591,1,800
1339827,3,800
642909,10,10750
1569397,2,890
1189287,1,500
738635,1,800
1504987,1,0
1229204,1,99
297690,5,950
1525950,1,0
538881,1,0
516717,1,3500
1517223,3,1000
182632,1,11000
1422860,1,800
533491,2,8000
517763,3,3000
42026,1,2000
852341,1,4000
1057091,4,7450
36570,1,2000
1103274,2,1200
1234105,2,0
556673,1,800
855162,1,1500
122267,7,14000
82551,13,29000
648212,1,0
119760,3,30000
600365,4,4000
1369467,1,1000
551300,3,2400
1517152,1,0
1452275,1,2050
862051,1,250
641004,1,1000
1534733,1,0
1182472,1,2050
1629136,1,0
1493411,1,1000
521692,4,13750
1525490,1,0
241788,2,10000
533155,3,1300
972372,1,1000
552352,1,500
698048,9,10000
549309,2,1300
936240,1,250
1637529,1,0
1530951,1,0
241949,4,40000
1231789,1,300
565064,2,1800
250424,1,1500
38319,3,15400
1534545,1,0
95666,1,2000
151056,1,2000
100758,1,4500
152009,2,4500
1451172,2,4100
258930,2,1600
1579570,1,0
163980,2,18000
1414142,1,0
730740,1,1700
929123,2,2600
1138787,1,2050
578428,3,4500
963892,2,2350
1163886,4,120
1058304,2,2350
1133365,1,50
1560391,1,800
502362,1,2050
955906,1,1000
853361,1,800
1578270,1,99
1236311,4,2950
1221885,1,800
1481885,1,50
1007916,2,600
351680,1,2050
705424,1,2050
578317,1,800
251247,1,800
134278,1,4500
1521579,1,0
661994,1,800
1422595,2,0
1589353,1,500
1221521,1,50
432292,1,0
1413816,1,800
1019874,1,0
715669,1,4500
1637615,1,0
1341431,1,300
670196,2,7000
1005913,1,800
576287,1,1000
1121297,3,350
442147,1,1000
396018,1,300
119284,2,1600
1075667,1,0
787957,1,1750
866650,1,1500
1484327,2,2400
1193433,1,99
1571236,1,100
450758,3,1899
635031,4,20000
810157,1,2050
1009999,1,1000
1445418,1,0
1339790,4,5650
103817,1,4500
666925,1,1000
796683,1,2050
1415647,2,899
743761,1,1250
821011,2,4100
1501744,1,50
123408,2,8000
1454125,1,500
1056129,1,2050
1189033,1,0
663568,2,500
690989,1,0
653212,4,3000
85860,1,0
812286,8,8000
196563,2,500
1427391,1,50
548483,3,800
741506,2,1600
1641422,1,500
1615507,1,50
1224082,2,150
1376057,1,2050
1435120,2,899
989070,2,1500
1491147,2,4100
1479175,1,500
1094722,1,1300
135428,1,700
841101,2,1500
1559703,1,300
1565521,1,3500
532714,1,5000
1565283,2,500
1044661,1,800
1393351,1,500
530908,1,2000
793001,1,0
1160499,2,100
938494,1,500
1528151,6,2899
662103,2,800
346386,1,800
1557238,6,5100
431184,1,1700
342797,1,2250
1526595,2,2000
957806,2,3500
1521135,1,800
1328658,7,7000
953600,4,6700
834637,3,3000
798092,1,0
1390263,4,797
149896,2,1500
1639227,1,50
1469591,1,2050
1622199,1,300
359265,1,1000
1122928,1,4000
840540,1,0
970426,2,1000
559453,1,0
661012,1,0
538059,1,0
553445,1,800
252736,1,1000
554108,1,0
158908,2,600
357729,4,10000
1135041,1,50
654585,1,0
8554,24,29297
1430456,1,800
717098,4,4000
1101701,1,50
1623331,1,300
1410200,1,0
621369,1,1000
964590,2,500
216425,1,0
831506,2,1000
1548499,1,300
1629186,1,0
134547,2,500
1434746,2,1600
1625948,1,0
162750,2,3700
1111591,1,2700
533843,1,500
549329,1,0
921390,1,300
1627141,1,0
903144,2,4100
515342,2,1000
1461474,1,300
835481,3,2400
1101884,1,50
1089766,1,2050
519281,2,198
1464434,2,500
260243,2,4500
566638,1,0
1075636,2,4100
45102,2,320
1112458,1,300
1348707,1,800
598522,1,500
40720,6,3799
1635621,1,0
37334,2,4000
1523297,1,0
722969,1,2050
975757,1,800
826218,6,5200
155527,2,18000
525541,3,30000
552110,6,5600
570399,1,800
1229424,2,0
1623580,1,0
1489770,2,1000
525595,4,40000
1460312,1,0
422248,4,1200
1530936,1,0
1625680,1,0
970943,2,0
447057,3,1899
945754,1,2050
1114616,4,250
1364151,2,1650
589632,2,2000
1629448,1,0
1612893,1,300
1640488,1,99
209016,1,3700
908873,1,500
745340,2,1000
90349,1,6500
549842,1,900
927945,3,1500
1431284,1,0
9389,1,1500
657494,1,99
586070,1,2050
703719,1,1300
1156859,2,4000
1361122,2,750
721855,3,3000
7606,1,0
425550,7,14000
413644,1,19000
1522141,1,300
1414681,1,0
435003,2,3000
1428204,6,3199
933496,1,2050
416344,1,2050
549868,2,1000
1528598,1,0
188543,1,2000
969732,1,500
1503409,1,800
1035021,1,800
1412766,1,0
1039203,2,2000
637980,2,1000
475042,1,3500
104600,4,15996
121153,3,6000
965307,1,2050
1222858,5,3000
1121816,2,1000
1424525,2,150
1433846,1,0
1426145,8,900
780102,3,1500
596970,1,0
673646,1,500
1377709,2,5000
1455409,2,500
1420394,3,1399
904744,1,1000
1482354,3,900
539884,6,3300
813012,1,1000
153331,1,1000
95309,1,2000
207027,2,600
644325,2,2000
1415758,1,0
1188046,1,6000
1503537,4,1000
501054,1,800
856741,1,4000
1160555,2,500
798931,1,2050
540978,1,500
322981,2,23000
1639935,1,2500
537694,2,1000
195920,1,2050
1183517,1,300
635550,2,1300
1620045,1,0
